timestamp,accelerometer,accel_x,accel_y,accel_z,gyroscope,gyro_x,gyro_y,gyro_z,magnetometer,magnet_x,magnet_y,magnet_z
790836.5081,3,-0.353,-0.175,10.123,,,,,,,,
790836.5658,3,-0.353,-0.176,10.125,4,0.001,-0.001,0,,,,
790836.6234,3,-0.355,-0.175,10.129,4,0,0,0.001,5,-8.498,3.09,-9.814
790836.681,3,-0.353,-0.173,10.128,4,0,0,0,5,-5.663,0.166,-6.848
790836.7386,3,-0.352,-0.179,10.125,4,0.001,0,0,,,,
790836.7963,3,-0.354,-0.174,10.126,4,0,0,0,5,-5.429,-0.449,-6.216
790836.8539,3,-0.349,-0.179,10.125,4,0,0,0,5,-5.463,0.066,-7.297
790836.9115,3,-0.353,-0.175,10.12,4,0,0,0,5,-5.865,0.166,-7.401
790836.9691,3,-0.35,-0.171,10.125,4,0,0,0,,,,
790837.0268,3,-0.353,-0.177,10.124,4,0,0,0,5,-6.929,0.021,-6.848
790837.0844,3,-0.349,-0.176,10.126,4,0,0,0,5,-7.344,-0.085,-7.405
790837.142,3,-0.354,-0.179,10.129,4,0,0,0,,,,
790837.1996,3,-0.35,-0.174,10.122,4,0,0,0,5,-5.385,1.105,-8.33
790837.2573,3,-0.353,-0.177,10.122,4,0.001,0,0,5,-6.958,-0.186,-6.638
790837.3149,3,-0.352,-0.175,10.127,4,0,0,0,5,-6.25,1.265,-6.181
790837.3725,3,-0.352,-0.178,10.122,4,0,0,0,,,,
790837.4301,3,-0.348,-0.175,10.124,4,0,0,0,5,-6.331,-0.101,-7.742
790837.4878,3,-0.349,-0.178,10.119,4,0,0,0,5,-6.853,0.551,-7.619
790837.5454,3,-0.356,-0.175,10.128,4,0,0,0,,,,
790837.603,3,-0.356,-0.171,10.127,4,0,0,0,5,-7.368,0.607,-6.412
790837.6606,3,-0.352,-0.172,10.123,4,0,0,0,5,-6.604,0.534,-7.245
790837.7182,3,-0.349,-0.175,10.128,4,0,0,0,5,-6.303,0.74,-7.951
790837.7759,3,-0.349,-0.173,10.117,4,0,0,0,,,,
790837.8335,3,-0.355,-0.177,10.128,4,0,0,0.001,5,-6.087,0.453,-7.355
790837.8911,3,-0.341,-0.176,10.124,4,0,0,0,5,-6.535,0.632,-7.742
790837.9487,3,-0.352,-0.175,10.127,4,0,0,0,,,,
790838.0064,3,-0.346,-0.179,10.12,4,0.001,0,0,5,-6.294,1.227,-8.174
790838.064,3,-0.357,-0.175,10.122,4,0.001,0,0,5,-6.854,0.618,-6.552
790838.1216,3,-0.349,-0.176,10.126,4,0,0,0,5,-6.674,0.574,-7.06
790838.1792,3,-0.348,-0.175,10.116,4,0,0,0,,,,
790838.2368,3,-0.357,-0.175,10.122,4,0,0,0,5,-6.21,1.024,-6.088
790838.2945,3,-0.345,-0.17,10.128,4,0,0,0,5,-7.15,0.427,-6.999
790838.3521,3,-0.357,-0.173,10.127,4,0.001,0,0,,,,
790838.4097,3,-0.35,-0.175,10.122,4,0,0,0,5,-7.648,0.58,-8.466
790838.4673,3,-0.353,-0.179,10.123,4,0,0,0,5,-6.334,0.06,-7.281
790838.525,3,-0.35,-0.175,10.126,4,0,0,0,5,-4.306,0.418,-8.4
790838.5826,3,-0.355,-0.174,10.121,4,0,0,0,5,-6.148,1.514,-6.105
790838.6402,3,-0.348,-0.177,10.126,4,0,0,0,5,-7.022,0.372,-6.691
790838.6978,3,-0.349,-0.172,10.126,4,0,0,0,5,-6.519,-0.13,-8.142
790838.7555,3,-0.357,-0.179,10.124,4,0,0,0,,,,
790838.8131,3,-0.35,-0.174,10.124,4,0,0,0,5,-5.663,1.013,-7.901
790838.8707,3,-0.353,-0.177,10.126,4,0,0,0,5,-6.485,1.199,-7.549
790838.9283,3,-0.353,-0.175,10.122,4,0,0,0,5,-6.755,-0.285,-6.924
790838.9859,3,-0.356,-0.179,10.122,4,0,0,0,5,-6.92,0.009,-7.997
790839.0436,3,-0.347,-0.176,10.126,4,0,0,0,5,-6.914,0.537,-6.773
790839.1012,3,-0.354,-0.179,10.127,4,0,0,0,5,-6.567,1.318,-6.233
790839.1588,3,-0.348,-0.175,10.122,4,0,0,0,,,,
790839.2164,3,-0.351,-0.175,10.122,4,0.001,0,0,5,-6.407,1.486,-7.57
790839.2741,3,-0.357,-0.175,10.126,4,0,0,0,5,-6.377,0.481,-6.996
790839.3317,3,-0.347,-0.173,10.128,4,0,0,0,5,-7.796,0.584,-7.858
790839.3893,3,-0.355,-0.176,10.126,4,0,0,0,5,-6.046,-0.368,-7.175
790839.4469,3,-0.35,-0.177,10.127,4,0,0,0,5,-6.235,0.706,-7.344
790839.5046,3,-0.354,-0.176,10.122,4,0,0,0,5,-6.284,0.659,-7.669
790839.5622,3,-0.351,-0.176,10.129,4,0,0,0,,,,
790839.6198,3,-0.354,-0.175,10.126,4,0,0.001,0,5,-6.142,1.488,-6.868
790839.6774,3,-0.351,-0.175,10.119,4,0,0,0,5,-6.499,0.642,-7.715
790839.7351,3,-0.349,-0.179,10.125,4,0,0.001,0,5,-6.914,1.334,-8.806
790839.7927,3,-0.353,-0.179,10.123,4,0,0,0,5,-7.178,1.254,-6.973
790839.8503,3,-0.351,-0.174,10.126,4,0,0,0.001,5,-5.916,1.041,-7.904
790839.9079,3,-0.351,-0.177,10.126,4,0,0,0,5,-6.268,1.25,-7.561
790839.9655,3,-0.345,-0.178,10.122,4,0,0,0.001,,,,
790840.0232,3,-0.357,-0.179,10.126,4,0,0,0,5,-6.458,-0.592,-7.227
790840.0808,3,-0.348,-0.174,10.127,4,0,0,0,5,-5.685,0.571,-6.183
790840.1384,3,-0.355,-0.176,10.129,4,0,0,0,,,,
