timestamp,accelerometer,x,y,z,gyro,x,y,z,,,,,,,,,,,
622231.1673,3,-0.305,-0.144,10.02,,,,,,,,,,,average accelerometer,,,average gyro,
622231.225,3,-0.309,-0.151,10.028,,,,,,,,,,,x,-0.305250467,,x,7.13E-05
622231.2826,3,-0.305,-0.148,10.038,4,0.043,-0.081,0.001,5,-10.014,11.354,-7.13,,,y,-0.142084112,,y,-1.33E-04
622231.3402,3,-0.306,-0.145,10.043,4,-0.001,0.001,0,5,-10.089,12.245,-6.387,,,z,10.06681121,,z,-7.50E-06
622231.3979,3,-0.302,-0.143,10.048,4,0,0,0,5,-10.371,13.025,-6.285,,,,,,,
622231.4555,3,-0.305,-0.148,10.051,4,0,0,0,,,,,,,,,,,
622231.5131,3,-0.305,-0.148,10.05,4,0,0,0,5,-10.62,11.736,-5.896,,,,,,,
622231.5707,3,-0.309,-0.143,10.054,4,0,0,0,5,-12.123,11.98,-6.776,,,,,,,
622231.6283,3,-0.301,-0.144,10.051,4,0,0,0,,,,,,,,,,,
622231.686,3,-0.298,-0.142,10.052,4,0,0,0,5,-11.774,13.368,-6.377,,,,,,,
622231.7436,3,-0.301,-0.152,10.05,4,0,0,0,5,-10.083,10.764,-5.296,,,,,,,
622231.8012,3,-0.305,-0.144,10.059,4,0,0,0,5,-8.636,11.699,-5.803,,,,,,,
622231.8589,3,-0.301,-0.141,10.053,4,0,0,0,5,-10.706,13.405,-7.87,,,,,,,
622231.9165,3,-0.305,-0.142,10.055,4,0,0,0,5,-10.188,12.337,-7.417,,,,,,,
622231.9741,3,-0.308,-0.143,10.063,4,0,0,0,5,-11.589,13.196,-6.43,,,,,,,
622232.0318,3,-0.303,-0.148,10.061,4,0,0,0,,,,,,,,,,,
622232.0894,3,-0.304,-0.143,10.063,4,0,0,0,5,-10.394,13.422,-7.419,,,,,,,
622232.147,3,-0.304,-0.147,10.058,4,0,0,0,5,-10.023,13.231,-6.529,,,,,,,
622232.2046,3,-0.308,-0.145,10.064,4,0,-0.001,0,5,-10.237,12.033,-5.836,,,,,,,
622232.2623,3,-0.303,-0.144,10.06,4,0,0,0,5,-9.12,11.241,-4.317,,,,,,,
622232.3199,3,-0.305,-0.144,10.063,4,0,0,0,5,-10.417,12.059,-5.865,,,,,,,
622232.3775,3,-0.303,-0.145,10.064,4,0,0,0,5,-11.69,12.973,-7.222,,,,,,,
622232.4351,3,-0.303,-0.144,10.063,4,0,0,0,,,,,,,,,,,
622232.4928,3,-0.307,-0.144,10.058,4,0,0,0,5,-11.819,12.352,-5.653,,,,,,,
622232.5504,3,-0.305,-0.144,10.064,4,0,0,0,5,-11.841,13.722,-7.43,,,,,,,
622232.608,3,-0.303,-0.144,10.061,4,0,0,0,5,-10.878,13.043,-7.111,,,,,,,
622232.6657,3,-0.302,-0.144,10.066,4,0,0,0,5,-10.884,12.802,-7.559,,,,,,,
622232.7233,3,-0.304,-0.143,10.059,4,0,0,0,5,-11.105,11.852,-6.276,,,,,,,
622232.7809,3,-0.301,-0.141,10.063,4,0,0,0,5,-10.577,12.808,-6.093,,,,,,,
622232.8386,3,-0.3,-0.141,10.062,4,0,0,0,,,,,,,,,,,
622232.8962,3,-0.305,-0.144,10.062,4,0,0,0,5,-11.804,11.603,-7.866,,,,,,,
622232.9538,3,-0.305,-0.143,10.066,4,0,0,0,5,-9.518,12.311,-7.269,,,,,,,
622233.0114,3,-0.308,-0.143,10.062,4,0,0,0,5,-10.263,12.488,-6.581,,,,,,,
622233.0691,3,-0.302,-0.14,10.067,4,0,0,0,5,-10.352,10.924,-4.794,,,,,,,
622233.1267,3,-0.305,-0.144,10.06,4,0,0,0,5,-11.447,13.597,-8.22,,,,,,,
622233.1843,3,-0.305,-0.143,10.066,4,0,0,0,5,-11.392,13.58,-6.017,,,,,,,
622233.2419,3,-0.305,-0.144,10.063,4,0,0,0,,,,,,,,,,,
622233.2996,3,-0.305,-0.144,10.07,4,0,0,0,5,-11.761,12.34,-5.176,,,,,,,
622233.3572,3,-0.296,-0.14,10.068,4,0,0,0,5,-10.246,12.608,-4.828,,,,,,,
622233.4149,3,-0.309,-0.14,10.067,4,0,0,0,5,-10.596,12.996,-6.331,,,,,,,
622233.4725,3,-0.306,-0.143,10.065,4,0,0,0,5,-10.925,11.763,-6.953,,,,,,,
622233.5301,3,-0.301,-0.144,10.068,4,0,0,0,5,-10.928,11.853,-6.223,,,,,,,
622233.5877,3,-0.305,-0.148,10.062,4,0,0,0,5,-9.914,12.943,-8.401,,,,,,,
622233.6454,3,-0.305,-0.145,10.067,4,0,0,0,,,,,,,,,,,
622233.703,3,-0.304,-0.144,10.065,4,0,0,0,5,-10.651,13.19,-7.201,,,,,,,
622233.7606,3,-0.305,-0.144,10.064,4,0,0,0,5,-11.44,12.346,-5.331,,,,,,,
622233.8182,3,-0.301,-0.144,10.064,4,0,0,0,,,,,,,,,,,
622233.8759,3,-0.302,-0.14,10.059,4,0,0,0,5,-10.744,11.629,-7.152,,,,,,,
622233.9335,3,-0.301,-0.145,10.064,4,0,0,0,5,-10.405,12.93,-7.44,,,,,,,
622233.9911,3,-0.299,-0.141,10.062,4,0,0,0,5,-11.577,13.965,-7.385,,,,,,,
622234.0488,3,-0.307,-0.141,10.066,4,0,0,0,,,,,,,,,,,
622234.1064,3,-0.309,-0.144,10.064,4,0,0,0,5,-11.725,13.38,-7.439,,,,,,,
