timestamp,accelerometer,x,y,z,gyro,x,y,z,,average accelerometer,,,average gyro,
602031.0815,3,-0.199,-0.065,10.064,,,,,,x,-0.212967537,,x,4.67005E-05
602031.0839,3,-0.199,-0.065,10.064,,,,,,y,-0.072669541,,y,1.64975E-05
602031.0863,3,-0.199,-0.065,10.064,,,,,,z,10.11234339,,z,2.00508E-05
602031.0887,3,-0.199,-0.065,10.064,4,0.003,0.026,-0.001,,,,,,
602031.0911,3,-0.211,-0.084,10.067,4,0.003,0.026,-0.001,,,,,,
602031.0935,3,-0.218,-0.079,10.064,4,-0.003,-0.001,-0.001,,,,,,
602031.0959,3,-0.203,-0.074,10.069,4,0,0.001,0.001,,,,,,
602031.0982,3,-0.215,-0.077,10.076,4,-0.001,0.002,-0.001,,,,,,
602031.1007,3,-0.215,-0.074,10.086,4,-0.002,0.002,-0.001,,,,,,
602031.103,3,-0.23,-0.081,10.064,4,-0.001,0,-0.001,,,,,,
602031.1055,3,-0.23,-0.084,10.093,4,-0.001,0,-0.001,,,,,,
602031.1079,3,-0.211,-0.062,10.105,4,0,0.001,-0.002,,,,,,
602031.1102,3,-0.194,-0.079,10.093,4,-0.001,0.001,-0.001,,,,,,
602031.1127,3,-0.199,-0.065,10.093,4,0,0.001,0.002,,,,,,
602031.1151,3,-0.215,-0.067,10.083,4,-0.001,0,-0.001,,,,,,
602031.1174,3,-0.208,-0.053,10.069,4,-0.001,0.001,0,,,,,,
602031.1199,3,-0.211,-0.072,10.059,4,-0.001,0.001,0,,,,,,
602031.1223,3,-0.203,-0.074,10.079,4,-0.002,0,0.001,,,,,,
602031.1246,3,-0.218,-0.074,10.095,4,-0.001,0.001,0,,,,,,
602031.1271,3,-0.199,-0.065,10.088,4,0,0.001,0,,,,,,
602031.1295,3,-0.211,-0.062,10.081,4,0,0,0,,,,,,
602031.1318,3,-0.199,-0.079,10.079,4,-0.001,0.001,-0.001,,,,,,
602031.1343,3,-0.213,-0.086,10.069,4,0,0.001,-0.001,,,,,,
602031.1367,3,-0.213,-0.089,10.083,4,-0.001,0.001,-0.001,,,,,,
602031.1391,3,-0.225,-0.098,10.069,4,0,0.002,0,,,,,,
602031.1415,3,-0.206,-0.081,10.076,4,-0.001,0.001,-0.001,,,,,,
602031.1439,3,-0.199,-0.096,10.114,4,-0.001,0,0,,,,,,
602031.1463,3,-0.223,-0.069,10.095,4,0,0,0,,,,,,
602031.1487,3,-0.239,-0.062,10.079,4,0,0,0.001,,,,,,
602031.1511,3,-0.208,-0.086,10.114,4,-0.001,0.001,0.001,,,,,,
602031.1535,3,-0.208,-0.06,10.105,4,0,0,0.001,,,,,,
602031.1559,3,-0.211,-0.074,10.083,4,-0.001,-0.001,0.001,,,,,,
602031.1583,3,-0.223,-0.079,10.095,4,0,0.001,0,,,,,,
602031.1607,3,-0.225,-0.079,10.095,4,0,0,-0.001,,,,,,
602031.1631,3,-0.213,-0.077,10.091,4,0,0,0,,,,,,
602031.1655,3,-0.201,-0.067,10.102,4,0,0,-0.001,,,,,,
602031.1679,3,-0.213,-0.065,10.091,4,0,0.001,0,,,,,,
602031.1703,3,-0.208,-0.065,10.079,4,0.001,0.001,0.002,,,,,,
602031.1727,3,-0.213,-0.069,10.088,4,0,0.001,0.001,,,,,,
602031.1751,3,-0.211,-0.074,10.107,4,-0.001,0.001,0.001,,,,,,
602031.1775,3,-0.213,-0.077,10.081,4,-0.001,0.001,0,,,,,,
602031.1799,3,-0.239,-0.072,10.083,4,0,0,0,,,,,,
602031.1823,3,-0.203,-0.067,10.098,4,0,0,0,,,,,,
602031.1847,3,-0.211,-0.072,10.1,4,-0.001,0,-0.001,,,,,,
602031.1871,3,-0.191,-0.079,10.091,4,-0.001,-0.001,-0.001,,,,,,
602031.1895,3,-0.203,-0.086,10.059,4,-0.001,0,-0.001,,,,,,
602031.1919,3,-0.223,-0.084,10.098,4,0,0.002,0.001,,,,,,
602031.1943,3,-0.211,-0.081,10.098,4,0,0.001,0.001,,,,,,
602031.1967,3,-0.189,-0.084,10.098,4,0.001,0.001,0.001,,,,,,
602031.1991,3,-0.211,-0.062,10.091,4,-0.002,0.001,0.001,,,,,,
602031.2015,3,-0.218,-0.081,10.079,4,-0.001,0,0,,,,,,
602031.2039,3,-0.234,-0.074,10.091,4,0,0,-0.001,,,,,,
602031.2063,3,-0.23,-0.089,10.086,4,-0.001,0,-0.001,,,,,,
602031.2087,3,-0.232,-0.06,10.088,4,0,0.003,0.001,,,,,,
602031.2111,3,-0.203,-0.086,10.071,4,0,0.002,0.001,,,,,,
602031.2135,3,-0.23,-0.069,10.081,4,0,0.001,0.001,,,,,,
602031.2159,3,-0.211,-0.057,10.093,4,0,0.001,-0.001,,,,,,
602031.2183,3,-0.227,-0.065,10.098,4,0,0,-0.001,,,,,,
602031.2207,3,-0.22,-0.077,10.093,4,0,0,0,,,,,,
602031.2231,3,-0.211,-0.086,10.091,4,0,0.001,0,,,,,,
602031.2255,3,-0.225,-0.065,10.093,4,0,0,0.001,,,,,,
602031.2279,3,-0.218,-0.067,10.1,4,0,0.001,0,,,,,,
602031.2303,3,-0.199,-0.077,10.093,4,0,0,0,,,,,,
602031.2327,3,-0.213,-0.072,10.095,4,0,0.001,0,,,,,,
602031.2351,3,-0.227,-0.069,10.091,4,0,0.001,0.001,,,,,,
602031.2375,3,-0.194,-0.062,10.11,4,0,0,0,,,,,,
602031.2399,3,-0.199,-0.072,10.074,4,0.001,0,0,,,,,,
602031.2423,3,-0.227,-0.067,10.095,4,0,0,-0.001,,,,,,
602031.2447,3,-0.225,-0.072,10.107,4,0,0.001,-0.001,,,,,,
602031.2471,3,-0.22,-0.086,10.081,4,0,0.001,0.001,,,,,,
602031.2495,3,-0.227,-0.081,10.074,4,-0.001,0,-0.001,,,,,,
602031.2519,3,-0.223,-0.1,10.102,4,-0.001,0,0,,,,,,
